"title";"price";"city";"street";"rooms";"square_m2";"floor";"link"
"3-комнатная квартира · 107 м² · 2/9 этаж";"45 000 000";"Aktobe";"мкр. Алтын орда, Мангилик Ел 22";"3";"107";"2/9";""
"3-комнатная квартира · 67.1 м² · 1/5 этаж";"21 500 000";"Aktobe";"Нур Актобе 10/9 — Детский сад Нурсултан, цон";"3";"67.1";"1/5";""
"2-комнатная квартира · 176 м² · 1/5 этаж";"21 300 000";"Aktobe";"мкр. Алтын орда 49Р — ЖК Алия";"2";"176";"1/5";""
"4-комнатная квартира · 134.1 м² · 5/6 этаж";"51 500 000";"Aktobe";"Алтын Орда";"4";"134.1";"5/6";""
"2-комнатная квартира · 80 м² · 1/5 этаж";"50 000 000";"Aktobe";"Тауелсиздик 21";"2";"80";"1/5";""
"4-комнатная квартира · 155 м² · 1/5 этаж";"65 000 000";"Aktobe";"мкр. Алтын орда, Мкр. Батыс 2 42";"4";"155";"1/5";""
"1-комнатная квартира · 57.8 м² · 4 этаж";"18 800 000";"Aktobe";"мкр. Алтын орда, Батыс 2 улица Ораза Татеулы 100б";"1";"57.8";"";""
"2-комнатная квартира · 58.7 м² · 3/3 этаж";"17 000 000";"Aktobe";"жилой массив Есет Батыр 1 мкр 3 к — Супермаркет Дина";"2";"58.7";"3/3";""
"3-комнатная квартира · 119.4 м² · 5/5 этаж";"31 000 000";"Aktobe";"Алтын Орда";"3";"119.4";"5/5";""
"3-комнатная квартира · 83 м² · 4/9 этаж";"24 000 000";"Aktobe";"Нур Актобе";"3";"83";"4/9";""
"2-комнатная квартира · 43.7 м² · 2/5 этаж";"13 000 000";"Aktobe";"мкр Жилгородок, Абулхаир хана 4";"2";"43.7";"2/5";""
"4-комнатная квартира · 125 м² · 1/5 этаж";"58 000 000";"Aktobe";"мкр. Алтын орда, Мкр.Батыс-2 54Б";"4";"125";"1/5";""
"2-комнатная квартира · 60 м² · 5/5 этаж";"20 000 000";"Aktobe";"мкр. Курмыш, Бурабай 12 — Г.Актобе,ул.Бурабай 12";"2";"60";"5/5";""
"4-комнатная квартира · 142 м² · 2/5 этаж";"70 000 000";"Aktobe";"мкр. Алтын орда, Ул.Тәуелсіздік 14 — Ул.Тәуелсіздік и ул.Мұстафа Шоқай";"4";"142";"2/5";""
"4-комнатная квартира · 153 м² · 11/16 этаж";"56 000 000";"Aktobe";"Абилкайыр-хана — Торговый центр Айна, медуниверситет им.Оспанова,  акимат области";"4";"153";"11/16";""
"3-комнатная квартира · 103.4 м² · 1/10 этаж";"30 000 000";"Aktobe";"Набережная 85 — Пересечение Кунаева и Набережная";"3";"103.4";"1/10";""
"4-комнатная квартира · 77.5 м² · 6/6 этаж";"23 000 000";"Aktobe";"мкр Жилгородок, Алтынемел 8кв41 — Ул.Мира и Бр.Жубановых,рядом театр ""Алакай""";"4";"77.5";"6/6";""
"1-комнатная квартира · 45 м² · 2/9 этаж";"22 500 000";"Aktobe";"мкр. Алтын орда, Микрорайон Алтын Орда 360/1 — Мангилик Ел";"1";"45";"2/9";""
"2-комнатная квартира · 56.1 м² · 1/2 этаж";"18 500 000";"Aktobe";"Бокенбай Батыра 59 — Через дорогу от ЖК Кендала. район 12Б";"2";"56.1";"1/2";""
"1-комнатная квартира · 38 м² · 5/5 этаж";"11 500 000";"Aktobe";"мкр 12 17 — Напротив мечети Нур-Гасыр";"1";"38";"5/5";""
"2-комнатная квартира · 56.9 м² · 9/9 этаж";"13 000 000";"Aktobe";"Нур Актобе, Есет Батыра";"2";"56.9";"9/9";""
"1-комнатная квартира · 58 м² · 5/9 этаж";"25 000 000";"Aktobe";"мкр. Алтын орда, байшева 7а";"1";"58";"5/9";""
"3-комнатная квартира · 125 м² · 3/5 этаж";"32 700 000";"Aktobe";"мкр. Алтын орда 20б";"3";"125";"3/5";""
"5-комнатная квартира · 206 м² · 3/4 этаж";"61 500 000";"Aktobe";"мкр 8, Санкибай батыра 253/6 — Г Жоубанова";"5";"206";"3/4";""
