"title";"price";"city";"street";"rooms";"square_m2";"floor";"link"
"2-комнатная квартира · 43.6 м² · 1/5 этаж";"13 000 000";"Aktobe";"Есет Батыра";"2";"43.6";"1/5";""
"4-комнатная квартира · 143.5 м² · 5/5 этаж";"42 900 000";"Aktobe";"мкр. Алтын орда, Батыс 2 4/1 — Жекпе Жек";"4";"143.5";"5/5";""
"2-комнатная квартира · 55 м² · 4/5 этаж";"12 100 000";"Aktobe";"мкр Шанхай, Кошевого 113";"2";"55";"4/5";""
"1-комнатная квартира · 46.6 м² · 6/8 этаж";"19 000 000";"Aktobe";"мкр. Алтын орда, Алтын Орда 41В к2";"1";"46.6";"6/8";""
"1-комнатная квартира · 33 м² · 5/9 этаж";"14 500 000";"Aktobe";"Сазда-2 , Толеу Алдиярова 2";"1";"33";"5/9";""
"2-комнатная квартира · 35.9 м² · 1/4 этаж";"7 000 000";"Aktobe";"Металлургов — М-н ""Данекер""";"2";"35.9";"1/4";""
"3-комнатная квартира · 87 м² · 5/5 этаж";"31 000 000";"Aktobe";"мкр. Алтын орда, Батыс 2 микрорайон 11а — Тауелсиздик- Халел Д";"3";"87";"5/5";""
"1-комнатная квартира · 30.8 м² · 4/5 этаж";"8 500 000";"Aktobe";"мкр 8, Гришина 72/1 — Р.Алтай, с.Дина и Анвар, 1 школа, 27 и 21 школа, универ.им.Баешева";"1";"30.8";"4/5";""
"1-комнатная квартира · 43 м² · 7/9 этаж";"15 700 000";"Aktobe";"мкр. Алтын орда 360";"1";"43";"7/9";""
"1-комнатная квартира · 39.25 м² · 2/5 этаж";"13 500 000";"Aktobe";"мкр. Алтын орда, Микрорайон Батыс-2 49Л";"1";"39.25";"2/5";""
"1-комнатная квартира · 66.4 м² · 3/9 этаж";"20 500 000";"Aktobe";"мкр. Алтын орда 19Г";"1";"66.4";"3/9";""
"2-комнатная квартира · 37.3 м² · 4/5 этаж";"13 500 000";"Aktobe";"мкр 8, Бр.Жубановых 296";"2";"37.3";"4/5";""
"1-комнатная квартира · 56 м² · 4/8 этаж";"24 000 000";"Aktobe";"мкр. Алтын орда, Сәңкібай батыр 40 — Дина гипермаркет";"1";"56";"4/8";""
"1-комнатная квартира · 31 м² · 3/5 этаж";"14 700 000";"Aktobe";"мкр. Алтын орда — Возле школы ""Жайлы""";"1";"31";"3/5";""
"2-комнатная квартира · 44 м² · 5/5 этаж";"13 500 000";"Aktobe";"мкр 5 95/3";"2";"44";"5/5";""
"2-комнатная квартира · 43.4 м² · 5/5 этаж";"12 000 000";"Aktobe";"Старый город, Старый город Айтеке би 27";"2";"43.4";"5/5";""
"2-комнатная квартира · 55 м² · 2/9 этаж";"20 000 000";"Aktobe";"мкр. Алтын орда, Санкибай батыра 177А";"2";"55";"2/9";""
"2-комнатная квартира · 52 м² · 10/25 этаж";"16 000 000";"Aktobe";"мкр 11 112В";"2";"52";"10/25";""
"4-комнатная квартира · 165 м² · 3/7 этаж";"120 000 000";"Aktobe";"мкр. Алтын орда 51в";"4";"165";"3/7";""
"2-комнатная квартира · 49.5 м² · 5/5 этаж";"16 000 000";"Aktobe";"Абилкайыр хана, Космос 58/1";"2";"49.5";"5/5";""
"3-комнатная квартира · 105 м² · 8/10 этаж";"44 000 000";"Aktobe";"мкр. Алтын орда, Алтын Орда 5 е";"3";"105";"8/10";""
"1-комнатная квартира · 50 м² · 4/9 этаж";"16 800 000";"Aktobe";"мкр. Алтын орда";"1";"50";"4/9";""
"4-комнатная квартира · 132 м² · 3/5 этаж";"57 000 000";"Aktobe";"мкр. Алтын орда, Тауелсиздик 1к1 — Угол пр. Молдагуловой";"4";"132";"3/5";""
